Calculated drug-vulnerability interaction score (DVCS) for drug x:

Sum of DVCS Scores: 9.439841339797267
Sum of normalized DVCS Scores: 0.0
Target normalized DVCS Score: 2.359960334949317
Average DVCS Score: 0.47199206698986335
Median DVCS Score: 0.3956221536653445

Calculated TVIR scores for drug x:

Target_gene	Vulnerability_gene	TVIR_Score	normalized_TVIR_score
BRAF	ALDH6A1	0.3919494637872778	0.0
BRAF	GRP	0.5545761715880712	0.0
BRAF	VAV3	0.8413397972675187	0.0
BRAF	GCLC	0.20904950785955634	0.0
BRAF	KMT2A	0.2535625091817247	0.0
KRAS	ALDH6A1	0.36080505362127224	0.0
KRAS	GRP	0.45982077273395033	0.0
KRAS	VAV3	0.7565741148817394	0.0
KRAS	GCLC	0.20890260026443366	0.0
KRAS	KMT2A	0.37564272072866167	0.0
TP53	ALDH6A1	0.3214338181283972	0.0
TP53	GRP	0.3038049067136771	0.0
TP53	VAV3	0.703246657852211	0.0
TP53	GCLC	0.9838401645365066	0.0
TP53	KMT2A	0.3992948435434112	0.0
MDM2	ALDH6A1	0.4302923461142941	0.0
MDM2	GRP	0.3389158219479947	0.0
MDM2	VAV3	0.7702365212281475	0.0
MDM2	GCLC	0.42089026002644336	0.0
MDM2	KMT2A	0.35566328779197887	0.0
