DTCR Score: 0.294

drug	#_of_rounds	DTCS_score	normalized_DTCS_score
M3814	1	4.935948288526517	40.07990010283531
M3814	2	7.118260614073748	57.80027618627883
M3814	3	5.511972969002498	44.75722050830027
M3814	4	7.272954311737916	59.05638901131187
M3814	5	8.249889819303657	66.9891053327457
M3814	6	7.986631408843837	64.85144703981194
M3814	7	7.605112384310269	61.75351256059938
M3814	8	5.551784927280741	45.080493609519614
M3814	9	6.862788306155428	55.72584104598207
M3814	10	7.532686939914794	61.165417952108115
M3814	11	7.483619803143823	60.76699280152783
M3814	12	4.694285294549728	38.117596591743784
M3814	13	7.290142500367269	59.195957102982206
M3814	14	7.706625532540032	62.577799324225055
M3814	15	7.45262230057294	60.51529308065227
M3814	16	6.904363155575143	56.06342882327016
M3814	17	5.050830027912442	41.01273982664903
M3814	18	6.345967386513883	51.52925517849272
M3814	19	5.874247098574996	47.69888644042897
M3814	20	8.001028353165859	64.96835022770676
M3814	21	6.509769355075656	52.85932716321433
M3814	22	8.889672396062876	72.18413985603054
M3814	23	7.719994123696196	62.68635228441309
M3814	24	7.2075804319083305	58.525553107095625
M3814	25	4.936242103716762	40.0822858821801
M3814	26	6.312031732040547	51.25369766416924
M3814	27	5.662847069193478	45.98231820185103
M3814	28	6.3960628764507135	51.93603055677978
M3814	29	5.959012780960776	48.387183781401504
M3814	30	6.84809754664316	55.60655207874247
M3814	31	7.491993536065815	60.83498751285441
M3814	32	7.586161304539445	61.599629792860284
M3814	33	6.670926986925224	54.16792713383282
M3814	34	8.099015719112677	65.76400763919494
M3814	35	5.022183046863524	40.7801263405318
M3814	36	7.385485529601881	59.97014250036727
M3814	37	6.930512707506979	56.27576318495665
M3814	38	6.982664903775525	56.69923901865726
M3814	39	5.8560305567797855	47.55096812105186
M3814	40	7.035110915234317	57.12510063170266
M3814	41	7.968267959453503	64.70233583076244
M3814	42	6.713530189510798	54.513865138827676
M3814	43	5.97634787718525	48.527944762744234
M3814	44	6.201557220508301	50.35664463052739
M3814	45	6.780373145291612	55.056629939767895
M3814	46	7.603790215954164	61.74277655354782
M3814	47	5.962097840458352	48.4122344645218
M3814	48	6.023505215219626	48.91086234758336
M3814	49	6.706772440135154	54.45899221389746
M3814	50	6.636256794476274	53.886405171147345
M3814	51	6.184809754664316	50.220655207874245
M3814	52	6.227559864845013	50.5677861025415
M3814	53	6.339944175113853	51.48034670192448
M3814	54	6.29014250036727	51.07595710298223
M3814	55	5.143675628029969	41.76664609960334
M3814	56	7.094167768473629	57.604642280005876
M3814	57	7.543705009548994	61.25488467753782
M3814	58	4.770530336418393	38.73670633171735
M3814	59	9.323784339650361	75.7091288379609
M3814	60	6.5807257235199055	53.435492874981634
