Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	APIP	3	28	6.329412680219872e-07	8.12
PRKDC	PRKACA	2	71	3.6196927615040014e-05	8.12
PRKDC	NPY1R	2	2	2.02421774105397e-06	8.12
PRKDC	GPAT4	3	115	3.5910483840377754e-07	8.12
PRKDC	CHST11	0	0	0	8.12
PRKDC	CCDC12	3	116	5.984462880709621e-07	8.12
PRKDC	VDAC1	2	44	7.528162455241571e-05	8.12
PRKDC	NUP210	3	202	7.219685907510985e-07	8.12
PRKDC	MTHFR	4	1428	2.188300149280546e-07	8.12
PRKDC	BNIP1	4	16335	7.240598186435046e-07	8.12
PRKDC	PRKAR1B	2	1	2.6052657631605e-06	8.12
PRKDC	ERCC1	2	5	9.134180469709079e-05	8.12
PRKDC	NT5M	3	683	2.3517581803017377e-06	8.12
PRKDC	VPS45	2	3	6.2833217729429554e-06	8.12
PRKDC	DBT	3	51	8.024502769540795e-07	8.12
PRKDC	GORAB	2	23	0.00032219606438192597	8.12
PRKDC	TCF7L1	2	23	3.860493349055075e-05	8.12
PRKDC	MED12L	2	9	5.738186630688581e-05	8.12
PRKDC	PRPF3	3	116	5.984462880709621e-07	8.12
PRKDC	FOXO1	2	53	0.00011651741959802783	8.12
PRKDC	NLGN4X	3	703	4.317180558209744e-06	8.12
PRKDC	GTF2H2C_2	2	4	8.994228071796206e-05	8.12
PRKDC	PRIM1	2	8	0.0008434689744387369	8.12
PRKDC	OR1A2	3	1212	9.157559897045505e-07	8.12
PRKDC	MRPS10	3	28	7.271490738540369e-08	8.12
PRKDC	THPO	2	11	2.275364321762267e-05	8.12
PRKDC	LPAR6	2	21	1.824645928757949e-05	8.12
PRKDC	HTD2	3	21	1.549090372900233e-06	8.12
PRKDC	GSTT1	3	60	6.635943204927861e-07	8.12
PRKDC	ADCY8	2	56	4.517230456792343e-05	8.12
PRKDC	IL12RB2	2	10	1.165678492067678e-05	8.12
PRKDC	CXCL5	2	5	5.841724832565132e-06	8.12
PRKDC	CMA1	3	6	1.2485523137447022e-06	8.12
PRKDC	MT-TQ	4	14	1.532115832729632e-09	8.12
PRKDC	ANGPT4	2	32	2.778191489293029e-05	8.12
PRKDC	CLDN19	2	3	6.911071494315986e-06	8.12
PRKDC	TAS1R1	3	600	2.7663543052077107e-06	8.12
PRKDC	RBMXL3	3	116	5.984462880709621e-07	8.12
PRKDC	SOCS7	2	8	1.904870282679741e-05	8.12
PRKDC	OR8B3	3	1212	9.157559897045505e-07	8.12
PRKDC	NTS	3	683	8.595698791264664e-07	8.12
PRKDC	CDO1	3	28	5.218989402988313e-07	8.12
PRKDC	TXNRD2	4	1472	2.4793898309810944e-07	8.12
PRKDC	PTPN1	2	5	1.2678193217605133e-05	8.12
PRKDC	JMJD7-PLA2G4B	2	12	7.099844290657973e-06	8.12
PRKDC	AGRN	3	1405	1.0720637600660507e-05	8.12
PRKDC	OR2L2	3	1212	9.157559897045505e-07	8.12
PRKDC	TAB3	2	5	1.0643410325813206e-05	8.12
PRKDC	FANCG	2	1	2.8447883477469277e-05	8.12
PRKDC	PRPF6	3	116	5.984462880709621e-07	8.12
PRKDC	ITGA11	2	21	2.5207145608396845e-05	8.12
PRKDC	RGMA	2	19	6.290263173497554e-05	8.12
PRKDC	SMO	2	5	1.244915191367146e-05	8.12
PRKDC	SRPRA	3	21	1.2921684689893983e-06	8.12
PRKDC	PSMB10	3	28	1.0639409682017525e-06	8.12
