Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
CDKN2A	APIP	3	237	5.783560238216205e-06	0.92
CDKN2A	PRKACA	2	160	5.9585585276427264e-05	0.92
CDKN2A	NPY1R	2	32	2.039716460569689e-05	0.92
CDKN2A	GPAT4	3	2102	6.8854569234859065e-06	0.92
CDKN2A	CHST11	0	0	0	0.92
CDKN2A	CCDC12	3	600	1.9252320228022212e-06	0.92
CDKN2A	VDAC1	1	1	0.0015220700152207	0.92
CDKN2A	NUP210	2	1	2.9904306220095695e-06	0.92
CDKN2A	MTHFR	3	6	2.546416861938952e-06	0.92
CDKN2A	BNIP1	3	83	3.2528791741929696e-06	0.92
CDKN2A	PRKAR1B	2	33	8.083622781897234e-05	0.92
CDKN2A	ERCC1	2	6	0.00011374323838884706	0.92
CDKN2A	NT5M	2	3	2.558148253512492e-05	0.92
CDKN2A	VPS45	2	12	2.6722291698867486e-05	0.92
CDKN2A	DBT	3	427	4.123455454447993e-06	0.92
CDKN2A	GORAB	1	1	0.014285714285714285	0.92
CDKN2A	TCF7L1	2	58	8.808548576641264e-05	0.92
CDKN2A	MED12L	2	32	0.00012952284162226865	0.92
CDKN2A	PRPF3	3	600	1.9252320228022212e-06	0.92
CDKN2A	FOXO1	1	1	0.0019342359767891683	0.92
CDKN2A	NLGN4X	2	6	2.8207063010905727e-05	0.92
CDKN2A	GTF2H2C_2	2	5	0.00011665168242736377	0.92
CDKN2A	PRIM1	2	7	0.0006239781930515553	0.92
CDKN2A	OR1A2	2	7	4.555867957929814e-06	0.92
CDKN2A	MRPS10	3	79	1.5835514028920513e-07	0.92
CDKN2A	THPO	2	31	2.9930284619465047e-05	0.92
CDKN2A	LPAR6	2	56	3.638835592257573e-05	0.92
ESR1	MGAM	2	27	0.00021507754563361299	0.05
ESR1	VPS4B	2	34	6.661567534353896e-05	0.05
ESR1	PSTPIP1	2	24	4.650940795828716e-05	0.05
ESR1	E2F5	2	51	7.476282878292852e-05	0.05
ESR1	DEFB4A	2	28	4.8377092939647245e-05	0.05
ESR1	SDHD	3	3783	2.30926675287561e-05	0.05
ESR1	ADORA3	2	111	9.691431213738582e-05	0.05
ESR1	ACSS3	3	714	1.6871733089839455e-05	0.05
ESR1	NRAS	1	1	0.0005359056806002144	0.05
ESR1	UBE2L6	2	2	1.0008181304702596e-05	0.05
ESR1	USP7	2	39	0.00010510120944656396	0.05
ESR1	PLB1	3	5041	1.6830478200690522e-05	0.05
ESR1	ATP2B2	1	1	0.0016474464579901153	0.05
ESR1	ALOX12	2	64	0.00010102211915604555	0.05
ESR1	CP	2	1	5.588715266134621e-06	0.05
ESR1	CHRM5	2	109	7.792959640701914e-05	0.05
ESR1	GALNT8	3	36	6.75296392269041e-06	0.05
ESR1	NUP88	3	862	2.177858510608717e-06	0.05
ESR1	EIF1AX	3	862	2.177858510608717e-06	0.05
ESR1	SF3A1	2	6	2.109645298303845e-05	0.05
ESR1	APOA1	2	4	3.393616354599564e-05	0.05
ESR1	AGAP9	2	23	8.262593071237147e-05	0.05
ESR1	SRR	3	254	7.077691700247533e-06	0.05
ESR1	LTB	2	10	1.3728182037690263e-05	0.05
ESR1	NDST1	0	0	0	0.05
ESR1	IL19	2	37	7.294991244299607e-05	0.05
ESR1	PSENEN	2	10	0.00038681736737974774	0.05
ESR1	OTUD5	2	9	3.9785725622369536e-05	0.05
ESR1	DNAJC6	2	23	8.262593071237147e-05	0.05
P53	PLRG1	2	7	3.960811533031724e-05	0.03
TP53	AGPAT5	2	92	0.00019829210458059888	0.03
TP53	HTR3A	2	63	0.00016191693552375315	0.03
TP53	NPPA	2	239	0.00026807381968596924	0.03
TP53	SLC22A7	2	24	0.00016412087148298383	0.03
TP53	GTF2F1	2	2	0.00011745360582569885	0.03
TP53	RPS27A	2	1	4.028294742269703e-06	0.03
TP53	FGFR3	1	1	0.0009165902841429881	0.03
TP53	REST	2	77	0.00039018250952854163	0.03
TP53	PPP2R5D	1	1	0.0012987012987012987	0.03
TP53	CCL20	2	214	0.0002311206239944439	0.03
TP53	TJP2	2	55	0.0002017580730733284	0.03
TP53	CASP12	1	1	0.002304147465437788	0.03
TP53	CKB	2	3	0.00026138292011736836	0.03
TP53	GUCA1C	2	9	0.00011194371186456557	0.03
TP53	KRT16	2	86	0.0002911402287221937	0.03
TP53	ACYP2	2	2	3.603603603603604e-05	0.03
TP53	DPM1	3	398	1.4309141367649786e-05	0.03
TP53	OR6S1	2	20	1.3756357390261343e-05	0.03
TP53	DBI	2	14	0.00028195343261446106	0.03
TP53	PTEN	1	1	0.0011441647597254005	0.03
TP53	ARF3	2	37	7.501437615907607e-05	0.03
TP53	CD6	2	13	6.094679552085781e-05	0.03
TP53	IL22	2	136	0.00016995404347176776	0.03
TP53	FGF2	1	1	0.0011160714285714285	0.03
TP53	COX4I2	2	35	0.0001570827973167205	0.03
TP53	IL33	2	125	0.00018621814681472133	0.03
TP53	SH3KBP1	2	37	7.501437615907607e-05	0.03
TP53	OR52B4	2	20	1.3756357390261343e-05	0.03
...
